Статус,Регистрационен №,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Връзка към сайт библиотеки,Телефон,Факс,E-mail,Председател,Секретар
Действащо,2118,"""Васил Левски -1914""",ТЪРГОВИЩЕ,,СЕЛО УГЛЕДНО,"""Родопи"",8,,п.к.7936",125029765,http://bibliobg.com/index.php?act=community&do=detail&hash=31fff8d3dac1b6b44f3a428fbfbfd69ec32ed117,0897817007,-,nc_ugledno@abv.bg,Енвер Хасанов Мусов,Хюсеин Исмаилов Горелски
Действащо,2116,"""Светлина-1928""",ТЪРГОВИЩЕ,,СЕЛО КАМБУРОВО,"""Палатица"",16,,п.к.7930",000868662,http://bibliobg.com/index.php?act=community&do=detail&hash=cfdc9f0a77aee946ea4a644d9ccc1cc534742090,0878184656,-,chitalishte_kamburovo@abv.bg,Исмаил Османов Ахмедов,Нуртен Назифова Ахмедова
Действащо,2119,"""Любен Каравелов -1952""",ТЪРГОВИЩЕ,,СЕЛО ГОРНА ХУБАВКА,"""Лисец"",25,п.к.7913",000868356,http://bibliobg.com/index.php?act=community&do=detail&hash=3d6818d1355e48c7e2e2602cedb3a50246fc7f1f,0889827778,-,nc_gornahubavka@abv.bg,Хасан Ахмедов Хасанов,Мустафа Алиев Мустафов
Действащо,2115,"""Кирил Петров 1922""",МОНТАНА,,СЕЛО СТАЛИЙСКА МАХАЛА,"“Първа”,4,,п.к.,3657",000313746,http://bibliobg.com/index.php?act=community&do=detail&hash=7c83d197ba85938537de7a38dfd493b0212f62e3,"0899, 499595",-,kirilpetrov1922@abv.bg,Росица Симеонова Гергова,Десислава Стефанова Илиева
Действащо,2114,"""Васил Левски-1922""",ГАБРОВО,,СЕЛО ЯВОРЕЦ,"пл.,""Девети,септември"",3,,п.к.5334",000211969,http://bibliobg.com/index.php?act=community&do=detail&hash=b9497106a3c5115cdc2b5def867e6d2e3f2f834e,"0897, 284, 168",067392-210,chitalishte_yavorec@abv.bg,Дафинка Иванова Йонкова,Пламен Боянов Христов
Действащо,2113,"""Събуждане - 1900""",ВРАЦА,,СЕЛО ТЛАЧЕНЕ,"""Васил,Левски"",2;,п.к.3243",000183982,http://bibliobg.com/index.php?act=community&do=detail&hash=e02ad9aba8f4577fcd1be0b3cd8fc5aacb73a239,"0876550083, 0895057378",,tlachene_sabujdane@abv.bg,Анка Канева Цекова,Силвия Димитринова Петкова
Действащо,2112,"""Възраждане-община Студентска-1935""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"""Иван,Боримечката"",6,,район,""Студентски"",,кв.,Дървеница,,клон,в,кв.""Мусагеница"",,бл.93,,вх.А,,ет.1,,п.к.1756",000671622,http://bibliobg.com/index.php?act=community&do=detail&hash=76566b473f49f0b7ec5cdc2fa196818dd8a2a7fc,"02, 8773170",-,saga_n@abv.bg,Ваня Петрова Монева,Нели Минчева Иванова
Действащо,2108,"""Просвета-1930""",ШУМЕН,,СЕЛО НОВА БЯЛА РЕКА,"""Септември"",1,,п.к.9883",000923379,http://bibliobg.com/index.php?act=community&do=detail&hash=41d956d44fa5b0e010cbbd5bd91e6b4386d0c6ed,0889186115,-,prosveta1930nbr@abv.bg,Мустафа Решидов Хюсеинов,Хава Мехмедова Дурлева
Действащо,2111,Златен век,СОФИЯ-ГРАД,,СЕЛО ПАНЧАРЕВО,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Иванка Генова Господинова,
Действащо,2110,"""Христо Ботев-1905""",ВАРНА,,СЕЛО НЕОФИТ РИЛСКИ,п.к.9223,000084315,http://bibliobg.com/index.php?act=community&do=detail&hash=b6aef94dff6a5e32ea85773bd90bdd7576524828,"0889500627, 0884442012",-,chitalishte_hr.botev05@abv.bg,Силвия Георгиева Георгиева,Евдокия Василева Петкова
Действащо,2109,"""Пробуждане 1906""",ВРАЦА,,СЕЛО ЧИРЕН,"""Дружба"",№,8,,п.к.3050",106532908,http://bibliobg.com/index.php?act=community&do=detail&hash=a47fe4d2d11f1110a87d7b0e5b52c173763020e0,"0879, 548837",-,boqnova@abv.bg,Диан Иванов Дамянов,Йорданка Правдолюбова Боянова
Действащо,2107,"""Иван Вазов-1919""",СОФИЯ,,СЕЛО СТОЛНИК,"""Ботевградско,шосе"",35,,п.к.2134",000761541,http://bibliobg.com/index.php?act=community&do=detail&hash=90058e4d1060a159382c81d0110a112b1efe3e3e,"0899750055, 0885708693",-,chitalishte_st1919@abv.bg,Венцислав Георгиев,Владислава Боянова Владимирова;Румяна Пурейска по чл.68
Действащо,2106,"""Никола Вапцаров 1923""",СОФИЯ,,СЕЛО БРУСЕН,п.к.2185,000761607,http://bibliobg.com/index.php?act=community&do=detail&hash=93d847b3d3188b7b1fb68bb53cb0ddc69d5cf193,0888710547,-,ch_brusen@abv.bg,Стоян Петров Стоянов,-
Действащо,2105,"""Слънце""",СОФИЯ,,СЕЛО ЛОПЯН,"""Васил,Левски""1;,п.к.2180",000762367,http://bibliobg.com/index.php?act=community&do=detail&hash=6c9720138e393723dddc99efcadda22599668068,0879297889,-,m_g_fer@abv.bg,Мария Георгиева Фердинандова,-
Действащо,2104,"""Христо Ботев-1937""",СОФИЯ,,СЕЛО МАЛКИ ИСКЪР,п.к.2184,000761596,http://bibliobg.com/index.php?act=community&do=detail&hash=a224fd701dfaedee047fa87d6ae6cf6416e1b941,"07105, 22, 10",-,iskar_botev1937@abv.bg,Иван Петков Василев,-
Действащо,2103,"""Развитие-1898 г. с.Медковец""",МОНТАНА,,СЕЛО МЕДКОВЕЦ,"""Георги,Димитров"",23,,п.к.3670",000313435,http://bibliobg.com/index.php?act=community&do=detail&hash=d501d50c463e7b361f5a829f9769755dd6f8c1c2,"09727, 29, 09, 0887496960",-,chitalishte_medkovec@abv.bg,Цеца Илиева Бориславова,Десислава Венциславова Куткудейска
Действащо,2102,"""Нов живот 1940 г.""",РАЗГРАД,,СЕЛО КОНЕВО,"""Баба,Парашкева"",31,,п.к.7442",000499884,http://bibliobg.com/index.php?act=community&do=detail&hash=2429c8cc5fb66496d51ee89cd6c22f4a7cf1c7a9,"0890578420, 0886543877",-,nch_konevo@abv.bg,Нели Атанасова Тодорова,Валентина Иванова Велева
Действащо,2101,"""Васил Левски-1936 г.""",РАЗГРАД,,СЕЛО ПЕЧЕНИЦА,"""Добруджа"",3,,п.к.7428",000500112,http://bibliobg.com/index.php?act=community&do=detail&hash=3fb975f9924972f6333a43ed6de4c2e4964bef2a,0894746901,,chitalishte_pechenitsa@abv.bg,Зейти Фераим Мехмед,Севджан Рамадан Яшар
Действащо,2100,"""Народна просвета 1904""",ВАРНА,,СЕЛО МЛАДА ГВАРДИЯ,"п.к.,9228",000084849,http://bibliobg.com/index.php?act=community&do=detail&hash=5a1ff268d172a5a58bcbf8a6f9ddf166a66eb718,0894843917,-,narodna.prosveta@abv.bg,Тодорка Веселинова Бакдонис,Росица Тодорова Станчева
Действащо,2099,"""Просвета 1922 - с.Горно Озирово""",МОНТАНА,,СЕЛО ГОРНО ОЗИРОВО,"""Васил,Левски"",27,,п.к.,3547",111044038,http://bibliobg.com/index.php?act=community&do=detail&hash=f01f6c9f520fd503393bb2549322f628aec473aa,"0878, 216706",-,chitalishteprosveta1922@abv.bg,Светла Иванова Димитрова,Георги Митрофанов Яначков
Действащо,2097,"""Пробуда -1930г.""",ВАРНА,,СЕЛО СТРАШИМИРОВО,п.к.9179,000084094,http://bibliobg.com/index.php?act=community&do=detail&hash=2fa6aadbd66779460f5e46c304b0c071bc7ab79a,"051149820, 0888259106",-,probudastrashimirovo@abv.bg,Антонио Павлов Павлов,Надя Василева Георгиева
Действащо,2096,"""Искра-1936г.""",ВАРНА,,СЕЛО ЕЗЕРОВО,"""Светлина"",2,,п.к.9168",000084062,http://bibliobg.com/index.php?act=community&do=detail&hash=60cd77bf76f1ac7110142b627937ea51a9f30f91,"05114, 2440, 0888945071",-,iskraezerovo@abv.bg,Стоянка Тодорова Българанова,Йорданка Петрова Иванова
Действащо,2094,"""Никола Йонков Вапцаров 1952""",КЪРДЖАЛИ,,СЕЛО ОСТРОВИЦА,"""Първа"",34,,п.к.6644",108058280,http://bibliobg.com/index.php?act=community&do=detail&hash=bb0b4e079a0ec78a14b46f774ccf3a6e8042c930,"0361, 64032",-,ostrovisa@abv.bg,Осман Димитров Славчев,Евру Събева Устова
Действащо,2095,"""Просвета -1919""",ВИДИН,,СЕЛО БОРИЛОВЕЦ,"""Георги,Димитров"",1,,п.к.3838",000152645,http://bibliobg.com/index.php?act=community&do=detail&hash=cae9f94c786b855a89eeee7a643eadfa62e8af53,0879266533,-,"prosveta.1919@abv.bg, ralitsa_vidin@abv.bg, slava_d@abv.bg",Мариела Миткова Христова,Йордан Методиев Димитров
Действащо,2091,"""Развитие-1928""",ВРАЦА,,СЕЛО ЛЕСУРА,п.к.3073,106048490,http://bibliobg.com/index.php?act=community&do=detail&hash=004a4598e1be362fe9d81bb1d1c4b7aeb02545f0,0888116825,-,razvitie1928_lesura@abv.bg,Олга Каменова Иванова,Таня Цветкова Георгиева
Действащо,2093,"""Васил Левски 1927""",РАЗГРАД,,СЕЛО БЪРДОКВА,"""Камчия"",1,,п.к.7448",000499560,http://bibliobg.com/index.php?act=community&do=detail&hash=cd83e9bcbc4583b06e091467f642fae2580e15df,0896827917,-,chitalishte_bardokva@abv.bg,Ведат Шефкет Алиосман,Сидика Дауд Дахил
Действащо,2092,Нов живот,КЪРДЖАЛИ,,СЕЛО ЧАЙКА,"с.,Чайка,,п.к.,6820",,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Минко Иванов Вачев,
Действащо,2090,"""Отец Паисий 1926""",ЯМБОЛ,,СЕЛО ЗАВОЙ,"""Ал.,Стамболийски"",1,п.к.8633",128023422,http://bibliobg.com/index.php?act=community&do=detail&hash=996f3647fd5c7ff2f50aef736c4fe9e7b87ec9a1,0885872454,-,chitalistezavoi@abv.bg,Величка Стоева Иванова,Галина Вълкова Ганева
Действащо,2088,Светлина,КЮСТЕНДИЛ,,СЕЛО МАЛА ФУЧА,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Елена Благоева Василева,
Действащо,2089,"""Христо Смирненски-1974""",КЪРДЖАЛИ,,СЕЛО РАВЕН,п.к.6834,108053778,http://bibliobg.com/index.php?act=community&do=detail&hash=d9e6411bd4e63d15beb0c6cf513eea95cc6fc25c,"03636, 288",-,chitalishte_raven@abv.bg,Севат Есат Раиф,Мелек Адем Ахмед
Действащо,2166,"""Надежда-1927г.""",СОФИЯ,,СЕЛО РЕЛЬОВО,п.к.2018,000760665,http://bibliobg.com/index.php?act=community&do=detail&hash=78f83d4373ee84ece62ccb187d0f86a7c17e384d,0896896968,-,"nch.nadezhda@abv.bg, pepa_kajmakanova@abv.bg",Павел Василев Кашинов,Росица Спасова Вардарова
Действащо,2165,"""Благой Гебрев -1905 г.""",ПЕРНИК,,СЕЛО ДРУГАН,"п.к.,2410",000379995,http://bibliobg.com/index.php?act=community&do=detail&hash=132a9f8e23a5605070c4aef93ed34ef229b94765,0885928578,няма,chitalishte_bl.gebrev@abv.bg,Евдокия Павлова Пиперкова,Стефка Милчова Щрапулина
Действащо,2087,"""Христо Ботев-1928""",ПЕРНИК,,СЕЛО ГАБРОВДОЛ,"п.к.,2392",000379696,http://bibliobg.com/index.php?act=community&do=detail&hash=915299fffb2a160c748315863bfeb3078edc194c,0889998258,-,gabrovdol1928@abv.bg,Михаил Огнянов Михайлов,Йордан Петров Григоров
Действащо,2164,"""Христо Ботев -1928 г.""",ПЕРНИК,,СЕЛО КОПАНИЦА,"п.к.,2409",000380225,http://bibliobg.com/index.php?act=community&do=detail&hash=fc8fd63fae415c04c0f4066d8483248babd9967b,0899597092,няма,chitalishte_hr.botev@mail.bg,Мирослав Мирчев,Василка Кирилова Николова
Действащо,2167,"""Пробуда 1927""",ВРАЦА,,СЕЛО ВЪРБИЦА,п.к.3264,106579879,http://bibliobg.com/index.php?act=community&do=detail&hash=a602d3e2961cd1557c4823b084def8faa34fe1bc,"0879, 213278",-,nelovavr@abv.bg,Димитър Цветков Поповски,Мария Тонова Нелова
Действащо,2163,"""Никола Павлов Корчев -1928 г.""",ПЕРНИК,,СЕЛО ДОЛНА ДИКАНЯ,"п.к.,2420",000379924,http://bibliobg.com/index.php?act=community&do=detail&hash=f9c73e7007c0c0afe8517bdd3dcdd99ce12d3bac,0896657798,-,chitalishte_nicolacorchev@abv.bg,Елинчо Йорданов Колев,Милена Върбанова Човалинова
Действащо,2161,"""Напредък -1915 г.""",ПЕРНИК,,СЕЛО СТЕФАНОВО,"п.к.,2414",000380855,http://bibliobg.com/index.php?act=community&do=detail&hash=0ae5a4efea95e7138c9d125ef15f6f16cc66ddad,0885928166,няма,stefanovo.napredak1915@abv.bg,Славчо Ананиев Гебрев,Лилия Димитрова Савева
Действащо,2162,"""Благой Попов - 1927г. - с. Дрен""",ПЕРНИК,,СЕЛО ДРЕН,"п.к.,2430",000379988,http://bibliobg.com/index.php?act=community&do=detail&hash=2ec60dad47e10760e2342e8ce4bd2509967e1eed,0886799850,няма,blagoy.popov@abv.bg,Мариана Седефчова Веселинова,Катя Славчева Велева
Действащо,2160,"""Светлина-1925 г.""",ПЕРНИК,,СЕЛО ДЕБЕЛИ ЛАГ,"п.к.,2416",000379867,http://bibliobg.com/index.php?act=community&do=detail&hash=a14cc2fb8ffda6bf1705ff9937791d2d72cf4319,0885928467,няма,toonii_31@abv.bg,Роза Методиева Кръстева,Антоанета Цанкова Василкова
Действащо,2158,Христо Ботев,ПЕРНИК,,СЕЛО КОШАРИТЕ,"ОБЛАСТ,ПЕРНИК,,ОБЩИНА,РАДОМИР,,СЕЛО,КОШАРИТЕ,,НЧ,""ХРИСТО,БОТЕВ""",113045676,http://bibliobg.com/index.php?act=community&do=detail&hash=8c788c4c7f05c57e35281491598d252a40af27d4,,НЯМА,,Соня Петрова Николова,НЯМА
Действащо,2152,"""Ана Маймункова -1894""",ЯМБОЛ,,СЕЛО ВОДЕН,"„Нико,Пехливанов”,69,,п.к.8750",000963046,http://bibliobg.com/index.php?act=community&do=detail&hash=27be95b8947c8a0687dfbfbefc837466b2e7ed19,"04748, 22, 21",-,voden.chitaliste@abv.bg,Атанаска Георгиева Мартинова,-
Действащо,2151,"""Селска пробуда-1925""",ВРАЦА,,СЕЛО ГОРНО ПЕЩЕНЕ,"""Подбалканска"",1,,п.к.3052",106565185,http://bibliobg.com/index.php?act=community&do=detail&hash=1159a6220d7c8e32abb753259fe65719d21880c6,"0887, 290734, 0876, 626462",-,chitali6te_gornope6tene@abv.bg,Красимира Йорданова Митова,Васил Николов Димитров
Действащо,2148,"""Отец Паисий -1928""",ГАБРОВО,,СЕЛО ДУМНИЦИ,п.к.5345,000210671,http://bibliobg.com/index.php?act=community&do=detail&hash=0a44504319cf093ad1c4867cb7397cffb6eb681e,"066, 803114, 0896484697",-,nch_dumnici@abv.bg,Бояна Ненова Истаткова,Пенка Николова Петрова
Действащо,2146,"""Изгрев-1946""",БЛАГОЕВГРАД,,ГРАД БЛАГОЕВГРАД,"""Струма,"",17,,п.к.2709",101093649,http://bibliobg.com/index.php?act=community&do=detail&hash=8e557ecadca7665fe88db194d4c5ca9fb19c4f93,"0878, 54, 56, 14",-,snejinastoycheva@abv.bg,Стоименка Станчова Чучукова,Снежина Веселинова Стойчева
Действащо,2149,"""Минчо Иванов-1912""",ТЪРГОВИЩЕ,,СЕЛО МАКАРИОПОЛСКО,"“Девети,септември”,31,,п.к.7750",000868833,http://bibliobg.com/index.php?act=community&do=detail&hash=1b584192ae6a6edeb3164a6ec4dda6b3afb04d36,0893424829,-,chitalishte_mincho_ivanov_1912@abv.bg,Цонка Маринова Ботева,Цанка Василева Димитрова
Действащо,2150,"""Йордан Цеков -1929г. с.Винище""",МОНТАНА,,СЕЛО ВИНИЩЕ,"""Славейко,Първанов"",25,,п.к.3482",000313707,http://bibliobg.com/index.php?act=community&do=detail&hash=60f066e8a06228d313da4d70b9795bcd9489753d,"0884803042, 0879064607",-,nchiordancekov1929@abv.bg,Бойко Георгиев Каменов,Димитрана Начова Гаврилова
Действащо,2145,"""Самообразование -1896""",ВЕЛИКО ТЪРНОВО,,СЕЛО СТЕФАН СТАМБОЛОВО,"пл.,""Център"",1,,п.к.5192",104075138,http://bibliobg.com/index.php?act=community&do=detail&hash=4b26011f07d2c499827cf121136272955834a842,0877480991,-,biblioteka_ststambolovo@abv.bg,Мариана Димитрова Коева,Пламен Кънев
Действащо,2159,"""Христо Ботев-1928""",ПЕРНИК,,ГРАД РАДОМИР,"пл.""Трети,март"",,кв.""Върба"",,п.к.,2401",113015590,http://bibliobg.com/index.php?act=community&do=detail&hash=4a8bc9f734a1e7915a141aea22f625bcbab20455,0885929130,няма,varba_@abv.bg,Лозан Павлов Лозанова,Мариана Стоянова Кирилова
Действащо,2147,Светлина-1928,ВАРНА,,СЕЛО КАМЕН ДЯЛ,"п.к.,9253",000084607,http://bibliobg.com/index.php?act=community&do=detail&hash=146f62222c586041a6b0a96d4b2f18d87718c244,0885903511,-,,Петинка Неделчева Димитрова,Веселин Атанасов Янакиев
Действащо,2140,"""Георги Бенковски - 1928""",СТАРА ЗАГОРА,,СЕЛО ОСЕТЕНОВО,"""Демокрация"",47,,п.к.,6153",000805338,http://bibliobg.com/index.php?act=community&do=detail&hash=91c19058708ad13c33845a9e896f724b833943e8,0897808967,-,filipova_60@abv.bg,Пенка Манолова Стефанова,Галя Томанова Христова
Действащо,2144,"""Елин Пелин-1930""",СОФИЯ,,СЕЛО ГОЛЯНОВЦИ,п.к.2231,000762029,http://bibliobg.com/index.php?act=community&do=detail&hash=2f89fb9ed85f5c3f3e438dcc99dc2a8225314ae4,"0721, 66678",-,bombi1981@abv.bg,Илиянка Иванова Григорова,Валентина Йосифова Александрова
Действащо,2143,"""Възраждане 1932""",МОНТАНА,,ГРАД БОЙЧИНОВЦИ,"„Малчика”,10,,п.к.3430",000313924,http://bibliobg.com/index.php?act=community&do=detail&hash=218d2426f8c09807c3497f6c1280bd7cc243e3d7,"09513, 2151",-,vazrajdane1932@mail.bg,Филип Наков,Валери Начев Начев
Действащо,2141,Христо Ботев,КЪРДЖАЛИ,,СЕЛО СИНДЕЛЦИ,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Стефан Стоянов Стефанов,
Действащо,2142,"""Пробуда-1908""",ВИДИН,,ГРАД ГРАМАДА,"пл.""Мико,Нинов"",2,,п.к.3830",000152392,http://bibliobg.com/index.php?act=community&do=detail&hash=d0b98eec024cf8cac5bdfd000fd57338b7cb4a74,"09337, 2254",-,chitalishte_gramada@abv.bg,Сашка Гергова Дичова,Валя Сашкова Йотова
Действащо,2139,"""Виделина -1928""",ЯМБОЛ,,СЕЛО КУКОРЕВО,"„Димитър,Благоев”,10,,п.к.8673",000963434,http://bibliobg.com/index.php?act=community&do=detail&hash=573241506f9d923ab5ad980deff9dd0ce6998932,0895506935,-,chitalishte_videlina1928@abv.bg,Янка Тонева Луканова,Веселина Иванова Димитрова
Действащо,2138,"""Единство""",КЪРДЖАЛИ,,СЕЛО ГРУЕВО,"п.к.,6809",108042592,http://bibliobg.com/index.php?act=community&do=detail&hash=03d56f8c687a38d3ae135078e505b1f34abe5caf,0878394125,,edinstvooo@abv.bg,Акиф Юсуф Юсеин,Айгюл Юсеин Хасан
Действащо,2137,"""Христо Ботев-1949""",ТЪРГОВИЩЕ,,СЕЛО ПЛЪСТИНА,п.к.7934,000869198,http://bibliobg.com/index.php?act=community&do=detail&hash=b4dd221597a53768069f0c5fbc5acefbfed139b5,0892777421,-,chitalishte_plastina@abv.bg,Бирджихан Кямил Али,Айджан Ерджанова Азизова
Действащо,2133,"""Христо Ботев -1945""",ТЪРГОВИЩЕ,,СЕЛО КРАСНОСЕЛЦИ,"""Чайка"",3,п.к.7925",000868744,http://bibliobg.com/index.php?act=community&do=detail&hash=8d8f3c47ef2566bdcb056322f650721abda06829,"0882884285, 0877202735",-,chitalishte_krasnoselci@abv.bg,Аднян Исметов Мустафов,Хидает Зекериева Илязова
Действащо,2135,"""Култура-1940""",ТЪРГОВИЩЕ,,СЕЛО ОБИТЕЛ,"""Георги,Димитров"",7;,/към,читалището,са,открити,два,клона,в,с.,Голямо,Църквище,и,в,с.,Чернокапци,п.к.,7920",000868986,http://bibliobg.com/index.php?act=community&do=detail&hash=ab1970d8a3b77d923c554a1de75c265e9ec63e3f,0897305454,-,kulturaobitel@abv.bg,Анифе Хюсеин Хюсеин,Гюлсян Хюсеинова Якуб
Действащо,2134,"""Просвета -1951""",ТЪРГОВИЩЕ,,СЕЛО ПТИЧЕВО,"""Лисец"",20,,п.к.7946",000870909,http://bibliobg.com/index.php?act=community&do=detail&hash=6e27ae8fda8646fe117e1972c4a774e2e137892a,"0882884257, 0899847211",-,nc_pti4evo@abv.bg,Мехмед Ереджебов Ахмедов,Ридван Ахмедов Хасанов
Действащо,2132,"""Кирил и Методий-1955""",ТЪРГОВИЩЕ,,СЕЛО ЦЕРОВИЩЕ,"""Герлово"",2,,п.к.7922",000869472,http://bibliobg.com/index.php?act=community&do=detail&hash=f7bd78f9fef3a1c217be98338a3ffa6b7fec5d22,"0898884121, 0898230723",-,chitalishte.1955@abv.bg,Фатиме Мехмедова Чолакова,Исмаил Алишев Бузгов
Действащо,2131,"""Труд-1950""",ТЪРГОВИЩЕ,,СЕЛО ВРАНИ КОН,"""Камчия"",20,,п.к.7940",000868252,http://bibliobg.com/index.php?act=community&do=detail&hash=e22ea27b42f119cc32b8812a2620ede8dcea810e,0895078491,-,nc_trud1950@abv.bg,Светлана Харизанова Йосифова,Кадрие Исмедова Ахмедова
Действащо,2130,"""Христо Ботев-1926""",ТЪРГОВИЩЕ,,СЕЛО ПАНАЙОТ ХИТОВО,"""Панайот,Хитов"",33,,п.к.7929",000869052,http://bibliobg.com/index.php?act=community&do=detail&hash=3594de38b8b3fc5c45de1f729b1dfa856fabf2fd,0897738014,-,nc_phitovo@abv.bg,Бедри Мехмедов Бекиров,Гюлбие Мехмедова Феимова
Действащо,2128,"""Просвета-1943""",ТЪРГОВИЩЕ,,СЕЛО МОГИЛЕЦ,"""Могилец"",39,,п.к.7943",000868922,http://bibliobg.com/index.php?act=community&do=detail&hash=29767fb2c7fe5e548d4010256d317a942c9aaeb3,0888075709,-,nc_mogilec@abv.bg,Мустафа Алиев Мустафов,Нуртен Али Хасан
Действащо,2327,"""Трудолюбие 1884""",РУСЕ,,ГРАД БЯЛА,"пл.""Екзарх,Йосиф,І"",9,,п.к.7100",117073406,http://bibliobg.com/index.php?act=community&do=detail&hash=38017773320af87d73d1d1b2dc62927e50a1f113,"0817, 73102",-,chitalishte_biala@abv.bg,Пламен Генов Велев,Владимир Иванов Карадемирев
Действащо,2129,"""Пробуда-1925""",ТЪРГОВИЩЕ,,СЕЛО ИЛИЙНО,"""Бузлуджа"",7,,п.к.7948",125031549,http://bibliobg.com/index.php?act=community&do=detail&hash=8ac75e471170f0414af25eb7917203f449ac31d4,"0894, 871, 504",-,chitalishte_ilijno@abv.bg,Радослав Илиянов Илиев,Наталия Валериевна Иванова
Действащо,2136,Просвета-1954,ТЪРГОВИЩЕ,,СЕЛО ДОЛНО КОЗАРЕВО,"""Чавдар,войвода"",2,,п.к.7926",000868468,http://bibliobg.com/index.php?act=community&do=detail&hash=2cb972d7979c79f0be1bdcea1f5069f198fa54eb,0889506093,-,hari.bobov@gmail.com,Фаик Мустафов Хюсеинв.ов,Хайредин Мехмедов Бобов
Действащо,2326,"""Димитър Дончев - Доктора -1893""",ДОБРИЧ,,ГРАД ТЕРВЕЛ,"""Хан,Аспарух"",36,,,п.к.9450",000843004,http://bibliobg.com/index.php?act=community&do=detail&hash=5e15455e6e1a573a51fce8617f9afff359435927,"05751, 2177, 2178, 2298",-,libtervel@abv.bg,Невена Куртева Денева,Светлин Марков Василев
Действащо,2325,"""Обнова -1923 г.""",БУРГАС,,ГРАД БУРГАС,"""Българка"",52,,кв.,Ветрен,,п.к.8127",000044993,http://bibliobg.com/index.php?act=community&do=detail&hash=d35a17ce38e0137d332d25ec5551138055865460,"0895, 506, 234",-,obnova1923@abv.bg,Татяна Радулова Димитрова,Мариана Темелкова Костадинова
Действащо,2324,"""Зора -1925""",ВЕЛИКО ТЪРНОВО,,СЕЛО НОВО ГРАДИЩЕ,"""Първа"",14,,п.к.,5175",104067664,http://bibliobg.com/index.php?act=community&do=detail&hash=27ea69dbf1948f6b5a413a08d2fc41c129a8cc8c,"0884540632, 0888622758",-,Zora_novo.gradishte@abv.bg,Георги Иванов Георгиев,Диана Иванова Маринова
Действащо,2323,"""Бъдеще -1899""",ВЕЛИКО ТЪРНОВО,,СЕЛО ЦАРСКИ ИЗВОР,"""Георги,Димитров"",10,,п.к.,5174",104063928,http://bibliobg.com/index.php?act=community&do=detail&hash=061e07dcdb78295cf908d090d67533b190fb6093,0897652457,-,bydeshte1899@abv.bg,Веселина Константинова Златева,Дияна Миланова Върбанова
Действащо,2322,"""Просвета -1905""",ВЕЛИКО ТЪРНОВО,,СЕЛО АСЕНОВО,"""Втора"",1,,п.к.,5159",104070335,http://bibliobg.com/index.php?act=community&do=detail&hash=f72c8fff8bed8a453dcf12a15bd5dfa392468f50,0888491526,-,Cnejana_peneva@abv.bg,Пенка Антонова Киселкова,Снежана Пенева Костова
Действащо,2321,"""Просвещение -1871 г.""",ПАЗАРДЖИК,,ГРАД СТРЕЛЧА,"пл.""Дружба"",1,,п.к.4530",000344072,http://bibliobg.com/index.php?act=community&do=detail&hash=c9d0c0397f1bac8dd7b5533ee142ccef44e1199c,"03532, 20, 77",-,chitalishte_strelcha@abv.bg,Мариана Нечева Няголова,Румяна Стаменова Колева-Нешева
Действащо,2320,"""Георги Михайлов - Силата 1908 г.""",ПАЗАРДЖИК,,СЕЛО СМИЛЕЦ,"""Четвърта"",2,,п.к.4531",000344058,http://bibliobg.com/index.php?act=community&do=detail&hash=d09a8c36e80f3108d4e3e5d4427c123dc0efa968,"0887, 11, 01, 47",-,chitalishte.georgi-mihailov.sm@abv.bg,Софка Димитрова Сурлекова,Гергана Василева Петкова
Действащо,2319,"""Отец Паисий -1936 г.""",ПАЗАРДЖИК,,СЕЛО БЛАТНИЦА,"""Втора"",5,,п.к.4537",112614815,http://bibliobg.com/index.php?act=community&do=detail&hash=d86ca98d37c5aff154111a011eb8836fafbdff39,"0892302447, 035391221",-,library.blatnitsa@abv.bg,Димитра Веселинова Гарева,Ненка Тодорова Узунова
Действащо,2318,"""Фар-1937""",ПАЗАРДЖИК,,СЕЛО СВОБОДА,"""Втора"",20,,п.к.4532",112085034,http://bibliobg.com/index.php?act=community&do=detail&hash=05640091a644222d81838079a63d19226ddb1b41,0887774781,-,far_1937@abv.bg,Георги Писков,Димитрийка Запрянова Илиева
Действащо,2316,"""Искра - 1900""",ВЕЛИКО ТЪРНОВО,,СЕЛО КОНСТАНТИН,"""Константин,Рудановски"",74,,п.к.5080",000125356,http://bibliobg.com/index.php?act=community&do=detail&hash=27fcd609d35a6e312046d8061c85bb74768429c7,0888523963,-,iskra_konstantin@abv.bg,Стоян Пенков Стоянов,Айтен Османова  Шабанова
