Номер,Линк,Име на читалище,Град/село,Община,Област
2537,?act=community&do=detail&id=2256&reg_num=2537,Просвета 1883,СЕЛО ГЕЦОВО,РАЗГРАД,РАЗГРАД
2538,?act=community&do=detail&id=2257&reg_num=2538,Пробуда 1947,СЕЛО СТРАЖЕЦ,РАЗГРАД,РАЗГРАД
2539,?act=community&do=detail&id=2258&reg_num=2539,Напредък -1895,СЕЛО ДРЯНОВЕЦ,РАЗГРАД,РАЗГРАД
2540,?act=community&do=detail&id=2259&reg_num=2540,Съгласие 1891,СЕЛО ОСЕНЕЦ,РАЗГРАД,РАЗГРАД
2541,?act=community&do=detail&id=2260&reg_num=2541,Просвета-1884г.,СЕЛО БАЛКАНСКИ,РАЗГРАД,РАЗГРАД
2542,?act=community&do=detail&id=2261&reg_num=2542,Просвета-1871,СЕЛО БЛАГОЕВО,РАЗГРАД,РАЗГРАД
2490,?act=community&do=detail&id=2210&reg_num=2490,Сила -1928 г.,СЕЛО СИНЯ ВОДА,ЛОЗНИЦА,РАЗГРАД
2491,?act=community&do=detail&id=2211&reg_num=2491,Пробуда-1912,ГРАД ЛОЗНИЦА,ЛОЗНИЦА,РАЗГРАД
2492,?act=community&do=detail&id=2212&reg_num=2492,Изток -1921 г.,СЕЛО МАНАСТИРЦИ,ЛОЗНИЦА,РАЗГРАД
2493,?act=community&do=detail&id=2213&reg_num=2493,Христо Ботев-1954,СЕЛО ЗЕБИЛ,ГЛАВИНИЦА,СИЛИСТРА
2494,?act=community&do=detail&id=2214&reg_num=2494,Ведрина-1997,СЕЛО КОСАРА,ГЛАВИНИЦА,СИЛИСТРА
2495,?act=community&do=detail&id=2215&reg_num=2495,Пробуда -1929г.,СЕЛО ВЪЛНАРИ,НИКОЛА КОЗЛЕВО,ШУМЕН
2496,?act=community&do=detail&id=2216&reg_num=2496,Христо Ботев -1899,СЕЛО ЗАРАЕВО,ПОПОВО,ТЪРГОВИЩЕ
2497,?act=community&do=detail&id=2217&reg_num=2497,Просвета 1963г.,СЕЛО ЦАНИ ГИНЧЕВО,НИКОЛА КОЗЛЕВО,ШУМЕН
2498,?act=community&do=detail&id=2218&reg_num=2498,Познай себе си -1893,СЕЛО КОВАЧЕВЕЦ,ПОПОВО,ТЪРГОВИЩЕ
2499,?act=community&do=detail&id=2219&reg_num=2499,Христо Ботев-1926г.-с.Железна,СЕЛО ЖЕЛЕЗНА,ЧИПРОВЦИ,МОНТАНА
2500,?act=community&do=detail&id=2220&reg_num=2500,Просвета -1926,СЕЛО МИТРОВЦИ,ЧИПРОВЦИ,МОНТАНА
2448,?act=community&do=detail&id=2173&reg_num=2448,Стефан Караджа-1950 г.,СЕЛО СУХОДОЛ,ГЛАВИНИЦА,СИЛИСТРА
2449,?act=community&do=detail&id=2174&reg_num=2449,Светлина 1998 г.,СЕЛО БЕЛИЦА,ЛЪКИ,ПЛОВДИВ
2450,?act=community&do=detail&id=2175&reg_num=2450,Светлина-1960,СЕЛО ЗВЕНИМИР,ГЛАВИНИЦА,СИЛИСТРА
2451,?act=community&do=detail&id=2176&reg_num=2451,Бъднина-1941г.,СЕЛО БАЩИНО,ГЛАВИНИЦА,СИЛИСТРА
2452,?act=community&do=detail&id=2177&reg_num=2452,Просвета -1940,СЕЛО СТЕФАН КАРАДЖА,ГЛАВИНИЦА,СИЛИСТРА
2453,?act=community&do=detail&id=2178&reg_num=2453,Пробуда-1919,СЕЛО РАКОВСКИ,РАЗГРАД,РАЗГРАД
2454,?act=community&do=detail&id=2179&reg_num=2454,Изгрев-1926 г.,СЕЛО БЪЛГАРЕНЕ,ЛОВЕЧ,ЛОВЕЧ
2455,?act=community&do=detail&id=2180&reg_num=2455,Иван Радоев -1907,ГРАД ПОРДИМ,ПОРДИМ,ПЛЕВЕН
2456,?act=community&do=detail&id=2181&reg_num=2456,Денчо Славов -1900,СЕЛО ГАНЧОВЕЦ,ДРЯНОВО,ГАБРОВО
2457,?act=community&do=detail&id=2182&reg_num=2457,Напредък -1887,СЕЛО ДЪСКОТ,ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО
2458,?act=community&do=detail&id=2183&reg_num=2458,Христо Ботев -1911 г.,СЕЛО ВРАБЕВО,ТРОЯН,ЛОВЕЧ
2408,?act=community&do=detail&id=2137&reg_num=2408,П.К. Яворов -1926 г.,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
2409,?act=community&do=detail&id=2138&reg_num=2409,Просвета -1942,СЕЛО ЛЯСКОВО,ДЕВИН,СМОЛЯН
2410,?act=community&do=detail&id=2139&reg_num=2410,Васил Левски -1936 г.,СЕЛО БОСИЛКОВО,СУНГУРЛАРЕ,БУРГАС
2411,?act=community&do=detail&id=2140&reg_num=2411,Христо Ботев -1927г.,СЕЛО ГРОЗДЕН,СУНГУРЛАРЕ,БУРГАС
2412,?act=community&do=detail&id=2141&reg_num=2412,Съгласие-1924,СЕЛО АЛЕКСАНДРОВО,СТРАЛДЖА,ЯМБОЛ
2413,?act=community&do=detail&id=2142&reg_num=2413,Светлина-1929,СЕЛО РОЗА,ТУНДЖА,ЯМБОЛ
2414,?act=community&do=detail&id=3104&reg_num=2414,Съзнание-1899 г.,СЕЛО НЕДЯЛСКО,СТРАЛДЖА,ЯМБОЛ
2415,?act=community&do=detail&id=2143&reg_num=2415,Иван Вазов-1942,СЕЛО БОГОРОВО,СТРАЛДЖА,ЯМБОЛ
2416,?act=community&do=detail&id=2144&reg_num=2416,Христо Ботев -1928 г.,СЕЛО СЪДИЕВО,АЙТОС,БУРГАС
2417,?act=community&do=detail&id=2145&reg_num=2417,Развитие -1895,СЕЛО САЛМАНОВО,ШУМЕН,ШУМЕН
2418,?act=community&do=detail&id=2146&reg_num=2418,Петко Рачов Славейков,СЕЛО ЕНЬОВЧЕ,АРДИНО,КЪРДЖАЛИ
2419,?act=community&do=detail&id=2147&reg_num=2419,Изгрев-1936,СЕЛО ТРИГРАД,ДЕВИН,СМОЛЯН
2663,?act=community&do=detail&id=2377&reg_num=2663,Развитие-1927,СЕЛО БОРОВЦИ,БЕРКОВИЦА,МОНТАНА
2664,?act=community&do=detail&id=2378&reg_num=2664,Съгласие-1898,СЕЛО ГАГАНИЦА,БЕРКОВИЦА,МОНТАНА
2665,?act=community&do=detail&id=2379&reg_num=2665,Иван Вазов-1872,ГРАД БЕРКОВИЦА,БЕРКОВИЦА,МОНТАНА
2666,?act=community&do=detail&id=2380&reg_num=2666,Развитие-1998,ГРАД ПЛЕВЕН,ПЛЕВЕН,ПЛЕВЕН
2667,?act=community&do=detail&id=2381&reg_num=2667,Слънце -1925,СЕЛО АЛЕКОВО,СВИЩОВ,ВЕЛИКО ТЪРНОВО
2668,?act=community&do=detail&id=2382&reg_num=2668,Христо Ботев -97,СЕЛО ЧЕРВЕНА,СВИЩОВ,ВЕЛИКО ТЪРНОВО
2669,?act=community&do=detail&id=3114&reg_num=2669,Св.Св.Кирил и Методий-1924,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
2670,?act=community&do=detail&id=2383&reg_num=2670,Васил Левски - 1924,СЕЛО ПЧЕЛНИК,ДОЛНИ ЧИФЛИК,ВАРНА
2671,?act=community&do=detail&id=3115&reg_num=2671,Йордан Йовков-1941,СЕЛО ПЧЕЛНИК,ДОБРИЧКА,ДОБРИЧ
2672,?act=community&do=detail&id=2384&reg_num=2672,Св.Св.Кирил и Методий -1928,СЕЛО ТЪРНЕНЕ,ПЛЕВЕН,ПЛЕВЕН
2673,?act=community&do=detail&id=2385&reg_num=2673,Отец Паисий-1933,ГРАД ГАБРОВО,ГАБРОВО,ГАБРОВО
2674,?act=community&do=detail&id=2386&reg_num=2674,Просвета,ГРАД ГАБРОВО,ГАБРОВО,ГАБРОВО
2675,?act=community&do=detail&id=2387&reg_num=2675,Прогрес-1958,СЕЛО КАЛОЯНЦИ,КЪРДЖАЛИ,КЪРДЖАЛИ
2676,?act=community&do=detail&id=2388&reg_num=2676,Христо Смирненски-1903,СЕЛО АПРИЛОВО,ПОПОВО,ТЪРГОВИЩЕ
2677,?act=community&do=detail&id=2389&reg_num=2677,Искра -1958,СЕЛО ДОМИЩЕ,КИРКОВО,КЪРДЖАЛИ
2678,?act=community&do=detail&id=2390&reg_num=2678,Развитие-1897,СЕЛО ДИБИЧ,ШУМЕН,ШУМЕН
2679,?act=community&do=detail&id=2391&reg_num=2679,Н.Й.Вапцаров-1908,СЕЛО СИНДЕЛ,АВРЕН,ВАРНА
2680,?act=community&do=detail&id=2392&reg_num=2680,Просвета 1928,СЕЛО ВЪЛЧЕ ПОЛЕ,ЛЮБИМЕЦ,ХАСКОВО
2681,?act=community&do=detail&id=2393&reg_num=2681,Бъдеще - 1927,СЕЛО ТОДОРОВО,ПЛЕВЕН,ПЛЕВЕН
2682,?act=community&do=detail&id=2394&reg_num=2682,Пробуда - 1927-с.Мечка,СЕЛО МЕЧКА,ПЛЕВЕН,ПЛЕВЕН
2621,?act=community&do=detail&id=2337&reg_num=2621,Иван Иванов -1891,СЕЛО МЕДОВИНА,ПОПОВО,ТЪРГОВИЩЕ
2622,?act=community&do=detail&id=2338&reg_num=2622,Пробуда-1908,СЕЛО ГОРОЦВЕТ,ЛОЗНИЦА,РАЗГРАД
2623,?act=community&do=detail&id=2339&reg_num=2623,Искра-1903г.,СЕЛО КРИВА БАРА,БРУСАРЦИ,МОНТАНА
2624,?act=community&do=detail&id=2340&reg_num=2624,Светлина-1927 с.Смирненски,СЕЛО СМИРНЕНСКИ,БРУСАРЦИ,МОНТАНА
2625,?act=community&do=detail&id=2341&reg_num=2625,Кирил и Методий-1927,СЕЛО КИСЕЛЕВО,БРУСАРЦИ,МОНТАНА
2626,?act=community&do=detail&id=2342&reg_num=2626,Асен Йосифов-1926,СЕЛО ГАБРОВНИЦА,МОНТАНА,МОНТАНА
2627,?act=community&do=detail&id=2343&reg_num=2627,Самообразование -1927,СЕЛО КАПИТАНОВЦИ,ВИДИН,ВИДИН
2628,?act=community&do=detail&id=2344&reg_num=2628,Просвета-1923-Боденец,СЕЛО БОДЕНЕЦ,МЕЗДРА,ВРАЦА
2629,?act=community&do=detail&id=2345&reg_num=2629,Събуждане -1899 с.Василовци,СЕЛО ВАСИЛОВЦИ,БРУСАРЦИ,МОНТАНА
2630,?act=community&do=detail&id=2346&reg_num=2630,Христо Ботев 1929 г.,СЕЛО ДОНДУКОВО,БРУСАРЦИ,МОНТАНА
2631,?act=community&do=detail&id=3112&reg_num=2631,Славянска беседа-1880,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
2632,?act=community&do=detail&id=2347&reg_num=2632,Георги Попиванов 1957,СЕЛО СПАТОВО,САНДАНСКИ,БЛАГОЕВГРАД
2633,?act=community&do=detail&id=2348&reg_num=2633,Иван Вазов,СЕЛО ТОЧИЛАРИ,КУБРАТ,РАЗГРАД
2634,?act=community&do=detail&id=2349&reg_num=2634,Христо Ботев-1948,СЕЛО ЧИФЛИК,КЪРДЖАЛИ,КЪРДЖАЛИ
2635,?act=community&do=detail&id=2350&reg_num=2635,Светлина-1965,ГРАД САМОКОВ,САМОКОВ,СОФИЯ
2636,?act=community&do=detail&id=2351&reg_num=2636,Безсмъртие-1919,СЕЛО ЛЕСНОВО,ЕЛИН ПЕЛИН,СОФИЯ
2637,?act=community&do=detail&id=2352&reg_num=2637,Стефан Караджа-1951,СЕЛО ПАДИНА,ГЛАВИНИЦА,СИЛИСТРА
2638,?act=community&do=detail&id=2353&reg_num=2638,П.Р.Славейков-1929,СЕЛО ХРАБРОВО,ПРОВАДИЯ,ВАРНА
2639,?act=community&do=detail&id=2354&reg_num=2639,Митко Палаузов-1973 г.,СЕЛО ПАДИНА,АРДИНО,КЪРДЖАЛИ
2640,?act=community&do=detail&id=2355&reg_num=2640,Георги Райчев-1959 г.,СЕЛО ЗЕМЛЕН,РАДНЕВО,СТАРА ЗАГОРА
2583,?act=community&do=detail&id=2302&reg_num=2583,Христо Ботев-1925,СЕЛО САМУИЛ,САМУИЛ,РАЗГРАД
2584,?act=community&do=detail&id=2303&reg_num=2584,Паметник -1872г.,СЕЛО ХЪРСОВО,САМУИЛ,РАЗГРАД
2585,?act=community&do=detail&id=2304&reg_num=2585,Просвета 1924 г.,СЕЛО БОГДАНЦИ,САМУИЛ,РАЗГРАД
2586,?act=community&do=detail&id=2305&reg_num=2586,Развитие -1903г.,СЕЛО КРИВИЦА,САМУИЛ,РАЗГРАД
2587,?act=community&do=detail&id=2306&reg_num=2587,Васил Левски -1937 г.,СЕЛО БОГОМИЛЦИ,САМУИЛ,РАЗГРАД
2588,?act=community&do=detail&id=2307&reg_num=2588,Н.Й.Вапцаров-1930,СЕЛО ЗДРАВЕЦ,САМУИЛ,РАЗГРАД
2589,?act=community&do=detail&id=2308&reg_num=2589,Бъдещност 1930,СЕЛО НОЖАРОВО,САМУИЛ,РАЗГРАД
2590,?act=community&do=detail&id=2309&reg_num=2590,Свобода 1919 г.,СЕЛО ГОЛЯМА ВОДА,САМУИЛ,РАЗГРАД
2591,?act=community&do=detail&id=2310&reg_num=2591,Иван Вазов -1918,СЕЛО ВЛАДИМИРОВЦИ,САМУИЛ,РАЗГРАД
2592,?act=community&do=detail&id=2311&reg_num=2592,Отец Паисий-1937 г.,СЕЛО ЖЕЛЯЗКОВЕЦ,САМУИЛ,РАЗГРАД
2593,?act=community&do=detail&id=2312&reg_num=2593,Напредък-1896 г.,СЕЛО ГОЛЯМ ИЗВОР,САМУИЛ,РАЗГРАД
2594,?act=community&do=detail&id=2313&reg_num=2594,Д-р Петър Берон-1929 г.,СЕЛО ПЧЕЛИНА,САМУИЛ,РАЗГРАД
2595,?act=community&do=detail&id=2314&reg_num=2595,Искра-1997,СЕЛО ДОЛЕН,ЗЛАТОГРАД,СМОЛЯН
2596,?act=community&do=detail&id=2315&reg_num=2596,Пробуда -1927,СЕЛО КАМЕНЯК,ХИТРИНО,ШУМЕН
2597,?act=community&do=detail&id=2316&reg_num=2597,Христо Ботев-1929,СЕЛО КОВАЧЕВО,РАДНЕВО,СТАРА ЗАГОРА
2598,?act=community&do=detail&id=2317&reg_num=2598,Просвета-1933 г.,СЕЛО БЕЛИ БРЯГ,РАДНЕВО,СТАРА ЗАГОРА
2599,?act=community&do=detail&id=3109&reg_num=2599,Светлина 1927 г.,СЕЛО ДАСКАЛ-АТАНАСОВО,РАДНЕВО,СТАРА ЗАГОРА
2600,?act=community&do=detail&id=2318&reg_num=2600,Лъч -1955 г.,СЕЛО ГОРНО ПРАХОВО,АРДИНО,КЪРДЖАЛИ
2601,?act=community&do=detail&id=2319&reg_num=2601,Родопи-1945,СЕЛО ЛЕНИЩЕ,АРДИНО,КЪРДЖАЛИ
2543,?act=community&do=detail&id=2262&reg_num=2543,Пеньо Пенев -1959,СЕЛО НОЖАРЕВО,ГЛАВИНИЦА,СИЛИСТРА
2544,?act=community&do=detail&id=2263&reg_num=2544,Извор-1936г.,СЕЛО ЛИПНИК,РАЗГРАД,РАЗГРАД
2545,?act=community&do=detail&id=2264&reg_num=2545,Прозрение 1927г.,СЕЛО КИЧЕНИЦА,РАЗГРАД,РАЗГРАД
2546,?act=community&do=detail&id=2265&reg_num=2546,Просвещение-1911,СЕЛО ДЯНКОВО,РАЗГРАД,РАЗГРАД
2547,?act=community&do=detail&id=2266&reg_num=2547,Св.Св.Кирил и Методий-1929г.,СЕЛО ЯСЕНОВЕЦ,РАЗГРАД,РАЗГРАД
2548,?act=community&do=detail&id=2267&reg_num=2548,Самообразование-1894,СЕЛО ПОБИТ КАМЪК,РАЗГРАД,РАЗГРАД
2549,?act=community&do=detail&id=2268&reg_num=2549,Съзнание - Недоклан 1927,СЕЛО НЕДОКЛАН,РАЗГРАД,РАЗГРАД
2550,?act=community&do=detail&id=2269&reg_num=2550,Наука 1929,СЕЛО РАДИНГРАД,РАЗГРАД,РАЗГРАД
2551,?act=community&do=detail&id=2270&reg_num=2551,Нов живот -1909г.,СЕЛО УШИНЦИ,РАЗГРАД,РАЗГРАД
2552,?act=community&do=detail&id=2271&reg_num=2552,Отец Паисий -1922,СЕЛО ЧЕРКОВНА,РАЗГРАД,РАЗГРАД
2553,?act=community&do=detail&id=2272&reg_num=2553,Наука-1900,СЕЛО КАМЕНАР,ЛОЗНИЦА,РАЗГРАД
2554,?act=community&do=detail&id=2273&reg_num=2554,Искра 1898г.,СЕЛО КАЛЕЙЦА,ТРОЯН,ЛОВЕЧ
2555,?act=community&do=detail&id=2274&reg_num=2555,Светлина-1902г.,СЕЛО ШИПКОВО,ТРОЯН,ЛОВЕЧ
2556,?act=community&do=detail&id=2275&reg_num=2556,Просвета -1891,ГРАД БРУСАРЦИ,БРУСАРЦИ,МОНТАНА
2557,?act=community&do=detail&id=2276&reg_num=2557,Груди Филипов -1920 г.,СЕЛО БОЗДУГАНОВО,РАДНЕВО,СТАРА ЗАГОРА
2558,?act=community&do=detail&id=2277&reg_num=2558,Светлина-1960г.,СЕЛО МАЛЪК ДЕВЕСИЛ,КРУМОВГРАД,КЪРДЖАЛИ
2559,?act=community&do=detail&id=2278&reg_num=2559,Нов живот-1926 г.,ГРАД МОМЧИЛГРАД,МОМЧИЛГРАД,КЪРДЖАЛИ
2560,?act=community&do=detail&id=2279&reg_num=2560,Пробуда -1928,СЕЛО ЛОМЦИ,ПОПОВО,ТЪРГОВИЩЕ
2561,?act=community&do=detail&id=2280&reg_num=2561,Просвета -1925,СЕЛО ЯГНИЛО,ВЕТРИНО,ВАРНА
2562,?act=community&do=detail&id=2281&reg_num=2562,Изгрев-1958,СЕЛО ДЖИНОТ,СТРАЛДЖА,ЯМБОЛ
2501,?act=community&do=detail&id=2221&reg_num=2501,Тодор Токин -1927,СЕЛО ГОРНА ЛУКА,ЧИПРОВЦИ,МОНТАНА
2502,?act=community&do=detail&id=2222&reg_num=2502,Христо Ботев-1897,СЕЛО ЧУПРЕНЕ,ЧУПРЕНЕ,ВИДИН
2503,?act=community&do=detail&id=2223&reg_num=2503,Съзнание-1928,СЕЛО РЕПЛЯНА,ЧУПРЕНЕ,ВИДИН
2504,?act=community&do=detail&id=2224&reg_num=2504,Нов живот-1927,СЕЛО ГОРНИ ЛОМ,ЧУПРЕНЕ,ВИДИН
2505,?act=community&do=detail&id=2225&reg_num=2505,Наука-1927,СЕЛО ДОЛНИ ЛОМ,ЧУПРЕНЕ,ВИДИН
2506,?act=community&do=detail&id=2226&reg_num=2506,Събуждане-1897г.,СЕЛО ЛОМЕЦ,ТРОЯН,ЛОВЕЧ
2507,?act=community&do=detail&id=2227&reg_num=2507,Напредък -1900г.,СЕЛО ДЪЛБОК ДОЛ,ТРОЯН,ЛОВЕЧ
2508,?act=community&do=detail&id=2228&reg_num=2508,Върбан Р. Генчев -1924 г.,СЕЛО ЦАРЕВА ЛИВАДА,ДРЯНОВО,ГАБРОВО
2509,?act=community&do=detail&id=2229&reg_num=2509,Христо Ботев-1898,СЕЛО ЦЕНОВО,ЦЕНОВО,РУСЕ
2510,?act=community&do=detail&id=2230&reg_num=2510,Пробуда 1922,СЕЛО БЕЛЦОВ,ЦЕНОВО,РУСЕ
2511,?act=community&do=detail&id=2231&reg_num=2511,Пробуда 1923,СЕЛО ДОЛНА СТУДЕНА,ЦЕНОВО,РУСЕ
2512,?act=community&do=detail&id=2232&reg_num=2512,Светлина-1905 г.,СЕЛО КАРАМАНОВО,ЦЕНОВО,РУСЕ
2513,?act=community&do=detail&id=2233&reg_num=2513,Петко Рачев Славейков 1927,СЕЛО ПИПЕРКОВО,ЦЕНОВО,РУСЕ
2514,?act=community&do=detail&id=2234&reg_num=2514,Христо Ботев-1927,СЕЛО НОВГРАД,ЦЕНОВО,РУСЕ
2515,?act=community&do=detail&id=2235&reg_num=2515,Пробуда -1927,СЕЛО БЕЛЯНОВО,ЦЕНОВО,РУСЕ
2516,?act=community&do=detail&id=2236&reg_num=2516,Просвета 1936,СЕЛО ДЖУЛЮНИЦА,ЦЕНОВО,РУСЕ
2517,?act=community&do=detail&id=2237&reg_num=2517,Пробуда-1928,СЕЛО ЖАБОКРЪТ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2518,?act=community&do=detail&id=2238&reg_num=2518,Пробуда - 1909 г.,СЕЛО БРЕСТОВО,ЛОВЕЧ,ЛОВЕЧ
2459,?act=community&do=detail&id=2184&reg_num=2459,Зора-1922 г.,СЕЛО ТЕРЗИЙСКО,ТРОЯН,ЛОВЕЧ
2460,?act=community&do=detail&id=2185&reg_num=2460,Христо Ботев -1929 г.,СЕЛО МАЛЪК ИЗВОР,ЯБЛАНИЦА,ЛОВЕЧ
2461,?act=community&do=detail&id=2186&reg_num=2461,Искра 1903,СЕЛО САДОВЕЦ,ДОЛНИ ДЪБНИК,ПЛЕВЕН
2462,?act=community&do=detail&id=2187&reg_num=2462,Съзнание -1929 г.,СЕЛО СМОЧАН,ЛОВЕЧ,ЛОВЕЧ
2463,?act=community&do=detail&id=2188&reg_num=2463,Антон Попов -1948,СЕЛО ЯВОРНИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
2464,?act=community&do=detail&id=2189&reg_num=2464,Просвета-1936,СЕЛО БЕЛАСИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
2465,?act=community&do=detail&id=3105&reg_num=2465,Пробуда -1926,СЕЛО ЖЕЛЕЗНИЦА,СТОЛИЧНА,СОФИЯ-ГРАД
2466,?act=community&do=detail&id=2190&reg_num=2466,Пейо Крачолов Яворов,СЕЛО ВЪРБЕН,КИРКОВО,КЪРДЖАЛИ
2467,?act=community&do=detail&id=2191&reg_num=2467,Прогрес-1955 г.,СЕЛО РОГОЗЧЕ,ДЖЕБЕЛ,КЪРДЖАЛИ
2468,?act=community&do=detail&id=2192&reg_num=2468,Д-р. Ем. Рангелов -1969,СЕЛО ПЛАЗИЩЕ,ДЖЕБЕЛ,КЪРДЖАЛИ
2469,?act=community&do=detail&id=2193&reg_num=2469,Дружба 1971 г.,СЕЛО УСТРЕН,ДЖЕБЕЛ,КЪРДЖАЛИ
2470,?act=community&do=detail&id=2194&reg_num=2470,Д-р Петър Берон-1946,СЕЛО СТРАНДЖЕВО,КРУМОВГРАД,КЪРДЖАЛИ
2471,?act=community&do=detail&id=3106&reg_num=2471,Изгрев 1978,СЕЛО СИНЧЕЦ,АРДИНО,КЪРДЖАЛИ
2472,?act=community&do=detail&id=2195&reg_num=2472,Пробуда 1906,СЕЛО НИКОЛА КОЗЛЕВО,НИКОЛА КОЗЛЕВО,ШУМЕН
2473,?act=community&do=detail&id=2196&reg_num=2473,Пробуда 1997,СЕЛО МАЛЕНОВО,СТРАЛДЖА,ЯМБОЛ
2474,?act=community&do=detail&id=2197&reg_num=2474,Съзнание -1929,СЕЛО ГЕЛА,СМОЛЯН,СМОЛЯН
2475,?act=community&do=detail&id=2198&reg_num=2475,Алеко Константинов 1884,ГРАД ПРОВАДИЯ,ПРОВАДИЯ,ВАРНА
2476,?act=community&do=detail&id=2199&reg_num=2476,Стефан Караджа -1941г.,СЕЛО ЗЪРНЕВО,ТЕРВЕЛ,ДОБРИЧ
2477,?act=community&do=detail&id=2200&reg_num=2477,Пробуда -1940 г.,СЕЛО КОЛАРЦИ,ТЕРВЕЛ,ДОБРИЧ
2478,?act=community&do=detail&id=2201&reg_num=2478,Христо Ботев -1940г.,СЕЛО КОЧМАР,ТЕРВЕЛ,ДОБРИЧ
2420,?act=community&do=detail&id=2148&reg_num=2420,Христо Ботев -1871,ГРАД СМОЛЯН,СМОЛЯН,СМОЛЯН
2421,?act=community&do=detail&id=2149&reg_num=2421,Отец Паисий 1927г.,СЕЛО ГУМОЩНИК,ТРОЯН,ЛОВЕЧ
2422,?act=community&do=detail&id=2150&reg_num=2422,Развитие - 1898 г.,СЕЛО ОРЕШАК,ТРОЯН,ЛОВЕЧ
2423,?act=community&do=detail&id=2151&reg_num=2423,Изгрев -1926 г.,СЕЛО БЕЛИ ОСЪМ,ТРОЯН,ЛОВЕЧ
2424,?act=community&do=detail&id=2152&reg_num=2424,Наука-1870 г.,ГРАД ТРОЯН,ТРОЯН,ЛОВЕЧ
2425,?act=community&do=detail&id=2153&reg_num=2425,Светлина -1919 г.,СЕЛО АБЛАНИЦА,ЛОВЕЧ,ЛОВЕЧ
2426,?act=community&do=detail&id=2154&reg_num=2426,Паисий-1896,СЕЛО АЛЕКСАНДРОВО,ЛОВЕЧ,ЛОВЕЧ
2427,?act=community&do=detail&id=2155&reg_num=2427,Просвета-1927г.,СЕЛО ГОСТИНЯ,ЛОВЕЧ,ЛОВЕЧ
2428,?act=community&do=detail&id=2156&reg_num=2428,Просвета - 1906,СЕЛО ГОРСКИ ГОРЕН ТРЪМБЕШ,ГОРНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО
2429,?act=community&do=detail&id=2157&reg_num=2429,Просвета-1927,СЕЛО ГЮРГИЧ,РУЖИНЦИ,ВИДИН
2430,?act=community&do=detail&id=2158&reg_num=2430,Самообразование 1894,СЕЛО СЕЛАНОВЦИ,ОРЯХОВО,ВРАЦА
2431,?act=community&do=detail&id=2159&reg_num=2431,Св.Св.Кирил и Методий - 1928,СЕЛО БЕЛОТИНЦИ,МОНТАНА,МОНТАНА
2432,?act=community&do=detail&id=2160&reg_num=2432,Народна просвета - 1908,СЕЛО СМОЛЯНОВЦИ,МОНТАНА,МОНТАНА
2433,?act=community&do=detail&id=2161&reg_num=2433,Иван Бобанов-1926г.,СЕЛО ПРЕВАЛА,ЧИПРОВЦИ,МОНТАНА
2434,?act=community&do=detail&id=2162&reg_num=2434,П.К. Яворов-1926,СЕЛО БЕЛИМЕЛ,ЧИПРОВЦИ,МОНТАНА
2435,?act=community&do=detail&id=2163&reg_num=2435,Гео Милев-1927г.-с. Мартиново,СЕЛО МАРТИНОВО,ЧИПРОВЦИ,МОНТАНА
2436,?act=community&do=detail&id=2164&reg_num=2436,Васил Левски 1908,СЕЛО НИВЯНИН,БОРОВАН,ВРАЦА
2437,?act=community&do=detail&id=2165&reg_num=2437,Цани Иванов 1907,СЕЛО БОРОВАН,БОРОВАН,ВРАЦА
2438,?act=community&do=detail&id=2166&reg_num=2438,Просвета 1919,СЕЛО МАЛОРАД,БОРОВАН,ВРАЦА
2439,?act=community&do=detail&id=2167&reg_num=2439,Христо Ботев -1923,СЕЛО БЯЛА РЕКА,ВЪРБИЦА,ШУМЕН
2683,?act=community&do=detail&id=2395&reg_num=2683,Пейо Яворов -1927,СЕЛО БОРИКИ,ГАБРОВО,ГАБРОВО
2684,?act=community&do=detail&id=2396&reg_num=2684,Изгрев -1946 г.,СЕЛО ГРАДЕЖНИЦА,ТЕТЕВЕН,ЛОВЕЧ
2685,?act=community&do=detail&id=2397&reg_num=2685,Пробуда,ГРАД МОНТАНА,МОНТАНА,МОНТАНА
2686,?act=community&do=detail&id=2398&reg_num=2686,Читалище-паметник Отец Паисий-1859,ГРАД САМОКОВ,САМОКОВ,СОФИЯ
2687,?act=community&do=detail&id=2399&reg_num=2687,Христо Ботев 1928 г.,СЕЛО ДОЛНА ВЕРЕНИЦА,МОНТАНА,МОНТАНА
2688,?act=community&do=detail&id=2400&reg_num=2688,Просвета Лозен-1906,СЕЛО ЛОЗЕН,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
2689,?act=community&do=detail&id=2401&reg_num=2689,Добри Чинтулов,СЕЛО ГОРНО КЪПИНОВО,КИРКОВО,КЪРДЖАЛИ
2641,?act=community&do=detail&id=2356&reg_num=2641,Просвета-1935,СЕЛО БУКОВЕЦ,БРУСАРЦИ,МОНТАНА
2642,?act=community&do=detail&id=2357&reg_num=2642,Йордан Йовков,СЕЛО МОГИЛЯНЕ,КИРКОВО,КЪРДЖАЛИ
